iter	Passed	Remaining
0	46	69662
1	89	66830
2	127	63482
3	174	65393
4	217	65048
5	256	63902
6	297	63348
7	336	62752
8	379	62792
9	422	62912
10	466	63112
11	507	62896
12	549	62839
13	590	62629
14	629	62300
15	673	62501
16	714	62355
17	757	62365
18	804	62728
19	846	62671
20	889	62648
21	932	62650
22	975	62663
23	1017	62556
24	1057	62370
25	1099	62320
26	1141	62283
27	1186	62361
28	1229	62379
29	1269	62214
30	1308	62022
31	1349	61919
32	1394	62001
33	1437	62002
34	1478	61879
35	1520	61829
36	1562	61776
37	1604	61717
38	1643	61578
39	1689	61682
40	1731	61610
41	1773	61558
42	1815	61500
43	1856	61419
44	1896	61332
45	1940	61344
46	1983	61318
47	2026	61305
48	2065	61171
49	2105	61064
50	2151	61126
51	2194	61097
52	2234	61001
53	2274	60916
54	2313	60780
55	2352	60656
56	2394	60630
57	2436	60568
58	2475	60468
59	2518	60437
60	2557	60321
61	2604	60409
62	2644	60318
63	2689	60342
64	2729	60255
65	2773	60258
66	2815	60225
67	2860	60231
68	2900	60148
69	2941	60096
70	2986	60102
71	3027	60055
72	3069	60004
73	3109	59923
74	3151	59879
75	3196	59883
76	3239	59869
77	3277	59742
78	3317	59678
79	3358	59616
80	3400	59579
81	3444	59563
82	3485	59507
83	3527	59467
84	3569	59414
85	3613	59407
86	3654	59354
87	3699	59357
88	3741	59324
89	3782	59259
90	3820	59148
91	3865	59160
92	3911	59173
93	3955	59165
94	3998	59129
95	4038	59061
96	4081	59033
97	4125	59014
98	4171	59039
99	4212	58975
100	4252	58908
101	4295	58878
102	4337	58832
103	4378	58778
104	4420	58724
105	4462	58688
106	4504	58639
107	4550	58655
108	4593	58623
109	4633	58554
110	4679	58553
111	4722	58521
112	4765	58488
113	4806	58434
114	4846	58374
115	4890	58346
116	4931	58293
117	4975	58267
118	5016	58217
119	5055	58141
120	5098	58109
121	5138	58044
122	5180	57999
123	5223	57969
124	5265	57922
125	5308	57885
126	5351	57857
127	5395	57831
128	5437	57785
129	5478	57735
130	5518	57673
131	5560	57629
132	5603	57595
133	5646	57558
134	5687	57508
135	5730	57471
136	5770	57408
137	5810	57349
138	5850	57287
139	5892	57246
140	5934	57198
141	5981	57205
142	6027	57198
143	6070	57164
144	6115	57147
145	6159	57119
146	6202	57084
147	6248	57079
148	6289	57024
149	6330	56974
150	6372	56927
151	6413	56876
152	6454	56828
153	6497	56793
154	6543	56777
155	6583	56717
156	6626	56686
157	6671	56661
158	6711	56604
159	6750	56537
160	6793	56502
161	6836	56460
162	6875	56396
163	6917	56350
164	6960	56315
165	7003	56284
166	7043	56220
167	7087	56193
168	7131	56165
169	7173	56120
170	7220	56116
171	7262	56073
172	7305	56035
173	7343	55960
174	7385	55921
175	7429	55889
176	7471	55842
177	7513	55799
178	7558	55781
179	7600	55736
180	7643	55701
181	7690	55694
182	7737	55683
183	7784	55679
184	7830	55658
185	7870	55603
186	7917	55590
187	7961	55562
188	8005	55528
189	8049	55499
190	8088	55436
191	8137	55433
192	8181	55406
193	8227	55390
194	8273	55371
195	8318	55343
196	8363	55321
197	8404	55262
198	8446	55222
199	8491	55196
200	8541	55198
201	8587	55178
202	8632	55155
203	8676	55123
204	8721	55092
205	8769	55086
206	8814	55056
207	8861	55040
208	8905	55010
209	8955	55009
210	8998	54970
211	9050	54985
212	9098	54972
213	9141	54936
214	9190	54930
215	9236	54903
216	9276	54845
217	9318	54799
218	9360	54751
219	9405	54720
220	9451	54699
221	9504	54714
222	9549	54685
223	9596	54667
224	9646	54665
225	9691	54631
226	9733	54584
227	9780	54563
228	9827	54542
229	9874	54526
230	9922	54509
231	9970	54493
232	10013	54453
233	10057	54411
234	10100	54370
235	10144	54333
236	10186	54285
237	10229	54240
238	10273	54202
239	10320	54182
240	10364	54142
241	10406	54098
242	10451	54063
243	10497	54038
244	10545	54016
245	10584	53957
246	10630	53926
247	10672	53879
248	10718	53851
249	10764	53823
250	10806	53772
251	10851	53738
252	10894	53698
253	10942	53677
254	10981	53613
255	11028	53591
256	11070	53542
257	11114	53505
258	11160	53476
259	11207	53451
260	11255	53431
261	11301	53399
262	11351	53392
263	11398	53366
264	11444	53334
265	11490	53304
266	11535	53272
267	11577	53219
268	11619	53174
269	11660	53120
270	11700	53064
271	11744	53021
272	11783	52961
273	11825	52910
274	11869	52872
275	11912	52830
276	11957	52793
277	11998	52742
278	12041	52698
279	12083	52647
280	12129	52619
281	12172	52572
282	12217	52539
283	12258	52489
284	12303	52452
285	12347	52413
286	12393	52382
287	12438	52346
288	12480	52298
289	12524	52258
290	12570	52224
291	12613	52182
292	12656	52136
293	12702	52107
294	12743	52053
295	12790	52026
296	12834	51986
297	12879	51949
298	12923	51911
299	12968	51872
300	13009	51820
301	13056	51792
302	13102	51760
303	13147	51725
304	13190	51680
305	13232	51632
